idromele	appannaggio
narcisso	narciso
imprevedibile	imponderabile
autorità	luminare
lavata	lavanda
portento	prodigio
mezzana	ruffiana
decreto	commessa
hl	ettolitro
espansione	sviluppo
delicatezza	chiaro
termine	assistenza
vestigia	vestigio
cinema	cine
sfericità	rotondità
pace	serenità
raffronto	confronto
insegna	tradimento
tono	gradazione
cammeo	cameo
fissaggio	fissazione
jersey	maglina
imbragatura	imbracatura
grano	granello
fatica	lavoro
pulcella	donzella
infortunio	accidente
cento	centinaio
somaro	asino
adiuvante	coadiuvante
emettitore	catodo
premio	risarcimento
egalitario	egualitario
imperfezione	menda
irrilevanza	scolaro
sensitivo	spiritista
ventino	nichelino
psichiatra	ovario
baffo	macchia
diceria	voce
condannato	recluso
centopiedi	millepiedi
boria	presunzione
spese	importo
guadino	retino
studio	rapporto
stella	astro
istante	minuto
maglione	pull
nocività	dannosità
stendardo	striscione
torsione	coppia
ulivo	olivo
intermezzo	interludio
acculturazione	pellegrino
diverso	omosex
inalterabilità	immutabilità
norma	condizione
confort	comodità
dose	cartina
fedelissimi	claque
comprensione	pensiero
radice	barba
teppismo	vandalismo
coppia	paio
zinco	fantasticheria
gentildonna	signora
aspetto	apparenza
facilità	semplicità
rematore	vogatore
limite	massimo
chiesuola	abitacolo
storico	storiografo
scapola	omoplata
guaritore	terapista
autoaccensione	autocombustione
spodestamento	detronizzazione
granaglie	grano
ritmica	metrica
esiliato	proscritto
letto	lettiera
accampamento	accantonamento
coinvolgimento	partecipazione
inclinazione	tendenza
lombaggine	lombalgia
pista	traccia
bussolotto	barattolo
lotta	guerra
crusca	semola
dissonanza	disaccordo
fogliame	chioma
carena	chiglia
combinazione	coincidenza
generalato	cittadina
